experiment,regime,scheme,scheme_label,n_classes,actual_classes,accuracy,knn_layer,knn_reference_layer,knn_k,knn_knn_preservation,dist_layer,dist_reference_layer,dist_distance_correlation,pca_layer,pca_n_features,pca_components_90,pca_components_95,pca_components_99,pca_first_pc_variance,pca_first_2pc_variance,pca_first_3pc_variance,arc_parameter_r2
circle_intrinsic_arc_2,circle,arc_bins,intrinsic_arc,2,2,0.9953333333333333,logits,input,10,0.19163333333333335,logits,input,0.6485498730038817,logits,2,1,1,1,0.9971081614494324,1.0,1.0,0.6742838789425429
circle_intrinsic_arc_8,circle,arc_bins,intrinsic_arc,8,8,0.971,logits,input,10,0.805,logits,input,0.8723149054190035,logits,8,3,4,4,0.5068479180335999,0.8133010864257812,0.9394766688346863,0.8732762948581931
circle_intrinsic_arc_32,circle,arc_bins,intrinsic_arc,32,32,0.898,logits,input,10,0.8947333333333334,logits,input,0.977880823667881,logits,32,3,3,4,0.5119964480400085,0.8881873488426208,0.9670048356056213,0.8863685030141304
circle_observed_x_2,circle,x_bins,observed_x,2,2,0.9986666666666667,logits,input,10,0.19496666666666665,logits,input,0.6615339337199583,logits,2,1,1,1,0.9986419677734375,1.0,1.0,0.01521352982378088
circle_observed_x_8,circle,x_bins,observed_x,8,8,0.957,logits,input,10,0.6607,logits,input,0.6728073387504422,logits,8,2,2,3,0.7960743308067322,0.9870582222938538,0.9966182112693787,0.46533201840863025
circle_observed_x_32,circle,x_bins,observed_x,32,32,0.772,logits,input,10,0.6821333333333334,logits,input,0.6460746813075093,logits,32,2,2,3,0.6566764712333679,0.9789202213287354,0.9961757659912109,0.685508638282029
circle_observed_y_2,circle,y_bins,observed_y,2,2,0.998,logits,input,10,0.19213333333333335,logits,input,0.6630798411954867,logits,2,1,1,1,0.9972242712974548,1.0,1.0,0.674934535531735
circle_observed_y_8,circle,y_bins,observed_y,8,8,0.9606666666666667,logits,input,10,0.6441666666666667,logits,input,0.6203821851458826,logits,8,2,2,3,0.7154226303100586,0.9777448177337646,0.9961807727813721,0.8308034915532428
circle_observed_y_32,circle,y_bins,observed_y,32,32,0.7616666666666667,logits,input,10,0.7097333333333333,logits,input,0.6608930526606024,logits,32,2,2,3,0.7242022156715393,0.9736419916152954,0.9935733079910278,0.8371833002979886
circle_vertical_halfspace_2,circle,halfspace_angle,vertical_halfspace,2,2,0.998,logits,input,10,0.19213333333333335,logits,input,0.6630798411954867,logits,2,1,1,1,0.9972242712974548,1.0,1.0,0.674934535531735
circle_horizontal_halfspace_2,circle,halfspace_angle,horizontal_halfspace,2,2,0.9986666666666667,logits,input,10,0.19496666666666665,logits,input,0.6615339337199583,logits,2,1,1,1,0.9986419677734375,1.0,1.0,0.01521352982378088
circle_quadrant_4,circle,quadrant,quadrant,4,4,0.9956666666666667,logits,input,10,0.6701,logits,input,0.8687710463084697,logits,4,3,3,3,0.4214417636394501,0.8000584840774536,0.9998384714126587,0.8622257908623912
spiral_intrinsic_arc_2,spiral,arc_bins,intrinsic_arc,2,2,0.9996666666666667,logits,input,10,0.41413333333333335,logits,input,0.3366311941896132,logits,2,1,1,1,0.9998935461044312,1.0,1.0,0.388564122760542
spiral_intrinsic_arc_8,spiral,arc_bins,intrinsic_arc,8,8,0.9936666666666667,logits,input,10,0.9082333333333334,logits,input,0.8879797182543923,logits,8,2,2,3,0.744707465171814,0.9641156196594238,0.9960035085678101,0.9853129737409405
spiral_intrinsic_arc_32,spiral,arc_bins,intrinsic_arc,32,32,0.9753333333333334,logits,input,10,0.966,logits,input,0.9499085302642628,logits,32,2,3,4,0.5645458102226257,0.9242621660232544,0.9855919480323792,0.9955998987638425
spiral_observed_x_2,spiral,x_bins,observed_x,2,2,0.999,logits,input,10,0.3883999999999999,logits,input,0.6571875666923247,logits,2,1,1,1,0.9977904558181763,1.0,1.0,0.5398211126444574
spiral_observed_x_8,spiral,x_bins,observed_x,8,8,0.9763333333333334,logits,input,10,0.7833,logits,input,0.6631196696146983,logits,8,2,2,2,0.8314261436462402,0.9954649209976196,0.9974489808082581,0.8325447180238712
spiral_observed_x_32,spiral,x_bins,observed_x,32,32,0.874,logits,input,10,0.8194333333333333,logits,input,0.668592480931384,logits,32,2,2,2,0.7512088418006897,0.9907429814338684,0.9961493015289307,0.9494506558461957
spiral_observed_y_2,spiral,y_bins,observed_y,2,2,0.9986666666666667,logits,input,10,0.3539,logits,input,0.7019841881023987,logits,2,1,1,1,0.9968255758285522,1.0,1.0,0.4593117108111421
spiral_observed_y_8,spiral,y_bins,observed_y,8,8,0.9856666666666667,logits,input,10,0.716,logits,input,0.692019274623656,logits,8,2,2,2,0.763202965259552,0.9916314482688904,0.9978739023208618,0.9086256602133718
spiral_observed_y_32,spiral,y_bins,observed_y,32,32,0.892,logits,input,10,0.8302333333333333,logits,input,0.7062493395424094,logits,32,2,2,3,0.7303488254547119,0.9820053577423096,0.9927017688751221,0.9759149432212114
spiral_vertical_halfspace_2,spiral,halfspace_angle,vertical_halfspace,2,2,0.9986666666666667,logits,input,10,0.3539,logits,input,0.7019841881023987,logits,2,1,1,1,0.9968255758285522,1.0,1.0,0.4593117108111421
spiral_horizontal_halfspace_2,spiral,halfspace_angle,horizontal_halfspace,2,2,0.999,logits,input,10,0.3883999999999999,logits,input,0.6571875666923247,logits,2,1,1,1,0.9977904558181763,1.0,1.0,0.5398211126444574
spiral_quadrant_4,spiral,quadrant,quadrant,4,4,0.9953333333333333,logits,input,10,0.9284666666666669,logits,input,0.9191130800899648,logits,4,2,2,3,0.6429491639137268,0.9516503810882568,0.9964244365692139,0.9469890557890834
sinewave_intrinsic_arc_2,sinewave,arc_bins,intrinsic_arc,2,2,0.999,logits,input,10,0.18223333333333336,logits,input,0.64980216987332,logits,2,1,1,1,0.998052179813385,1.0,1.0,0.9320372964905277
sinewave_intrinsic_arc_8,sinewave,arc_bins,intrinsic_arc,8,8,0.9936666666666667,logits,input,10,0.8087333333333334,logits,input,0.9396376411644151,logits,8,2,3,4,0.6066433191299438,0.9165157675743103,0.9876191020011902,0.9975709732326387
sinewave_intrinsic_arc_32,sinewave,arc_bins,intrinsic_arc,32,32,0.8933333333333333,logits,input,10,0.7906333333333334,logits,input,0.8723365177968754,logits,32,2,3,3,0.7082512974739075,0.9227973222732544,0.9918296337127686,0.9981972678118854
sinewave_observed_x_2,sinewave,x_bins,observed_x,2,2,1.0,logits,input,10,0.1497,logits,input,0.6602858286213548,logits,2,1,1,1,0.9989924430847168,1.0,1.0,0.9818407818209742
sinewave_observed_x_8,sinewave,x_bins,observed_x,8,8,0.965,logits,input,10,0.3819,logits,input,0.6930371248336064,logits,8,2,2,2,0.8547671437263489,0.9907081127166748,0.9958812594413757,0.9974379487830412
sinewave_observed_x_32,sinewave,x_bins,observed_x,32,32,0.841,logits,input,10,0.4986,logits,input,0.7294633877382922,logits,32,2,2,3,0.8568950295448303,0.9696841835975647,0.9920339584350586,0.9980282453934749
sinewave_observed_y_2,sinewave,y_bins,observed_y,2,2,0.9973333333333333,logits,input,10,0.11353333333333335,logits,input,0.6940233264996218,logits,2,1,1,1,0.9977286458015442,1.0,1.0,0.030946710308985215
sinewave_observed_y_8,sinewave,y_bins,observed_y,8,8,0.9783333333333334,logits,input,10,0.2741,logits,input,0.6780588499957311,logits,8,2,2,2,0.8568132519721985,0.9905495643615723,0.9992331266403198,0.06250574605900217
