seed,regime,scheme,n_classes,accuracy,knn,distance,first_pc
0,circle,intrinsic_arc,2,0.995,0.23409999999999997,0.6401670897138734,0.9999780058860779
1,circle,intrinsic_arc,2,0.997,0.19793333333333332,0.6671554905731469,0.9986916184425354
2,circle,intrinsic_arc,2,0.9973333333333333,0.18373333333333336,0.6840072176961846,0.999771773815155
3,circle,intrinsic_arc,2,0.9943333333333333,0.19859999999999997,0.6800884861980586,0.9984511137008667
4,circle,intrinsic_arc,2,0.9943333333333333,0.19550000000000003,0.6558701348790554,0.9949309229850769
0,circle,intrinsic_arc,8,0.974,0.8368000000000002,0.929687980598385,0.683239221572876
1,circle,intrinsic_arc,8,0.981,0.8647000000000001,0.9833096751195152,0.5155326128005981
2,circle,intrinsic_arc,8,0.9786666666666667,0.8574000000000003,0.9646700819147919,0.5183219313621521
3,circle,intrinsic_arc,8,0.9773333333333334,0.8634666666666668,0.9662727536522002,0.598129153251648
4,circle,intrinsic_arc,8,0.9743333333333334,0.8593333333333333,0.9468274441606392,0.49257203936576843
0,circle,intrinsic_arc,32,0.8956666666666667,0.8961,0.9601258310641435,0.5675836205482483
1,circle,intrinsic_arc,32,0.899,0.9061333333333336,0.983911770104472,0.49840009212493896
2,circle,intrinsic_arc,32,0.9003333333333333,0.9126333333333335,0.9778039494168099,0.5229179859161377
3,circle,intrinsic_arc,32,0.8946666666666667,0.8775000000000002,0.9228014471702012,0.5809049010276794
4,circle,intrinsic_arc,32,0.9026666666666666,0.8947666666666667,0.9683612312368616,0.5199570059776306
0,circle,observed_x,2,0.999,0.2149333333333333,0.6873461729035617,0.9999469518661499
1,circle,observed_x,2,0.999,0.1967666666666667,0.664316704605799,0.9995256066322327
2,circle,observed_x,2,0.999,0.18910000000000002,0.6496034152550151,0.9999713897705078
3,circle,observed_x,2,0.9993333333333333,0.19873333333333335,0.6531939617585715,0.9998533725738525
4,circle,observed_x,2,0.9996666666666667,0.1900666666666667,0.6645193203863993,0.9990480542182922
0,circle,observed_x,8,0.9543333333333334,0.6194333333333333,0.5974388942551005,0.7004172205924988
1,circle,observed_x,8,0.9656666666666667,0.6130666666666666,0.6334482142422295,0.7144929766654968
2,circle,observed_x,8,0.9593333333333334,0.6601666666666667,0.633980711931335,0.7621193528175354
3,circle,observed_x,8,0.9503333333333334,0.68,0.6409165769928675,0.728518009185791
4,circle,observed_x,8,0.9583333333333334,0.6549333333333334,0.6061537728861857,0.5742908716201782
0,circle,observed_x,32,0.763,0.6942333333333333,0.6868744023740181,0.7442601323127747
1,circle,observed_x,32,0.781,0.6283666666666666,0.6469735437654883,0.6801395416259766
2,circle,observed_x,32,0.754,0.7229333333333334,0.6561181736655369,0.8725290894508362
3,circle,observed_x,32,0.7536666666666667,0.7281666666666666,0.6634148260953602,0.7209038138389587
4,circle,observed_x,32,0.7513333333333333,0.7385666666666666,0.6631463244805501,0.6520378589630127
0,circle,observed_y,2,0.9986666666666667,0.18966666666666668,0.6433191955531106,0.9996758103370667
1,circle,observed_y,2,0.999,0.18273333333333336,0.6428364262691666,0.9989748001098633
2,circle,observed_y,2,0.9976666666666667,0.1881,0.6834803082245887,0.9998940825462341
3,circle,observed_y,2,0.9976666666666667,0.19286666666666671,0.6879510846494751,0.9995059370994568
4,circle,observed_y,2,0.9993333333333333,0.20779999999999998,0.666605399098357,0.9979672431945801
0,circle,observed_y,8,0.96,0.6266666666666667,0.5681388664640868,0.5700710415840149
1,circle,observed_y,8,0.9553333333333334,0.6959000000000001,0.6572133937706427,0.7334215641021729
2,circle,observed_y,8,0.962,0.6206666666666667,0.6444557571224263,0.6721887588500977
3,circle,observed_y,8,0.9616666666666667,0.6566666666666666,0.6495419266159628,0.6093381643295288
4,circle,observed_y,8,0.9613333333333334,0.5950333333333333,0.561981042831185,0.5135887861251831
0,circle,observed_y,32,0.76,0.6817,0.563125825461601,0.5796234011650085
1,circle,observed_y,32,0.726,0.6923666666666667,0.6635166325977051,0.8261284232139587
2,circle,observed_y,32,0.7656666666666667,0.6745333333333333,0.6809927556414419,0.7412316203117371
3,circle,observed_y,32,0.742,0.7346,0.6935234745076564,0.6967191100120544
4,circle,observed_y,32,0.765,0.6940333333333333,0.560478191849202,0.5395451188087463
0,spiral,intrinsic_arc,2,0.999,0.4265666666666666,0.3263449144339086,0.9998233318328857
1,spiral,intrinsic_arc,2,0.9993333333333333,0.3564666666666666,0.26997386014184066,0.9996152520179749
2,spiral,intrinsic_arc,2,1.0,0.4677333333333333,0.30312001289679774,0.9975118041038513
3,spiral,intrinsic_arc,2,0.9993333333333333,0.5157666666666667,0.3582713285382618,0.9997838735580444
4,spiral,intrinsic_arc,2,0.9993333333333333,0.35976666666666673,0.30333972296270645,0.9995543360710144
0,spiral,intrinsic_arc,8,0.9913333333333333,0.9341,0.926045478223062,0.6471870541572571
1,spiral,intrinsic_arc,8,0.993,0.9228000000000001,0.8481252289876088,0.6904623508453369
2,spiral,intrinsic_arc,8,0.994,0.9237000000000001,0.8930749081928093,0.6117686629295349
3,spiral,intrinsic_arc,8,0.9933333333333333,0.9390333333333335,0.9345489647234723,0.5072124600410461
4,spiral,intrinsic_arc,8,0.996,0.9218666666666668,0.933809143825714,0.5409995913505554
0,spiral,intrinsic_arc,32,0.9683333333333334,0.9618666666666666,0.9260981556543234,0.5073246955871582
1,spiral,intrinsic_arc,32,0.9613333333333334,0.9527333333333334,0.9033051470567949,0.6282352209091187
2,spiral,intrinsic_arc,32,0.9656666666666667,0.9556000000000001,0.8892428810955445,0.6721938848495483
3,spiral,intrinsic_arc,32,0.9666666666666667,0.9425666666666668,0.8190735257052018,0.7012982368469238
4,spiral,intrinsic_arc,32,0.9636666666666667,0.9639000000000001,0.9590504069472424,0.5043700933456421
0,spiral,observed_x,2,0.9983333333333333,0.38673333333333326,0.6522872874358709,0.9999411702156067
1,spiral,observed_x,2,0.9976666666666667,0.37876666666666675,0.6960958290266417,0.9992785453796387
2,spiral,observed_x,2,0.9946666666666667,0.38383333333333336,0.6679632632856466,0.9998982548713684
3,spiral,observed_x,2,0.9983333333333333,0.3792,0.6914204892002935,0.9997089505195618
4,spiral,observed_x,2,0.9976666666666667,0.38426666666666665,0.6454816484904375,0.9977510571479797
0,spiral,observed_x,8,0.9666666666666667,0.7708666666666666,0.6145988263316295,0.7015964984893799
1,spiral,observed_x,8,0.9903333333333333,0.6901333333333334,0.6824716235008104,0.7944573760032654
2,spiral,observed_x,8,0.9783333333333334,0.8125999999999999,0.6669233369181999,0.7817119359970093
3,spiral,observed_x,8,0.9743333333333334,0.7951666666666667,0.6910058468110655,0.7642057538032532
4,spiral,observed_x,8,0.9793333333333333,0.7806333333333334,0.6399320948991987,0.5973671674728394
0,spiral,observed_x,32,0.873,0.8247666666666668,0.6160220581759703,0.7434378266334534
1,spiral,observed_x,32,0.9103333333333333,0.8091,0.6608542936023942,0.6539992094039917
2,spiral,observed_x,32,0.843,0.8604666666666668,0.6658072826679979,0.9047048091888428
3,spiral,observed_x,32,0.858,0.8161999999999999,0.676234838156315,0.7368938326835632
4,spiral,observed_x,32,0.8973333333333333,0.8523333333333334,0.6517641680435708,0.7574679851531982
0,spiral,observed_y,2,0.9953333333333333,0.36676666666666663,0.6970956373468331,0.9991176724433899
1,spiral,observed_y,2,0.9983333333333333,0.37373333333333325,0.6437521303599187,0.9986748695373535
2,spiral,observed_y,2,0.9996666666666667,0.3604666666666667,0.6925680061080599,0.9998947381973267
3,spiral,observed_y,2,0.9983333333333333,0.3709666666666667,0.671352649595025,0.9998019337654114
4,spiral,observed_y,2,0.999,0.3689666666666667,0.68930470178183,0.9950851798057556
0,spiral,observed_y,8,0.978,0.7897000000000001,0.6272979775226804,0.5615811944007874
1,spiral,observed_y,8,0.973,0.7704666666666665,0.635094336231865,0.7889548540115356
2,spiral,observed_y,8,0.9896666666666667,0.7782666666666668,0.646613049909628,0.6777472496032715
3,spiral,observed_y,8,0.9916666666666667,0.8078333333333333,0.6274733147405074,0.7149497270584106
4,spiral,observed_y,8,0.9886666666666667,0.7069666666666667,0.5006285346627899,0.7730579376220703
0,spiral,observed_y,32,0.8776666666666667,0.8517333333333332,0.6948682311128116,0.724952220916748
1,spiral,observed_y,32,0.8966666666666666,0.7380333333333333,0.6698670171177055,0.8454347848892212
2,spiral,observed_y,32,0.9093333333333333,0.8484666666666667,0.6881984738171386,0.8102625012397766
3,spiral,observed_y,32,0.9086666666666666,0.8329333333333334,0.6905772089988311,0.814466118812561
4,spiral,observed_y,32,0.902,0.7830666666666666,0.583005833408481,0.5862729549407959
0,sinewave,intrinsic_arc,2,0.9996666666666667,0.15843333333333334,0.6195047196554451,0.9999510049819946
1,sinewave,intrinsic_arc,2,0.9993333333333333,0.17746666666666666,0.6551104020844865,0.9990600943565369
2,sinewave,intrinsic_arc,2,1.0,0.16276666666666667,0.6505037873848595,0.999928891658783
3,sinewave,intrinsic_arc,2,0.9996666666666667,0.14523333333333335,0.6299062483586721,0.9994952082633972
4,sinewave,intrinsic_arc,2,0.999,0.18816666666666668,0.6558012808749456,0.9992901682853699
0,sinewave,intrinsic_arc,8,0.9913333333333333,0.7330666666666666,0.8453648614848109,0.6741936802864075
1,sinewave,intrinsic_arc,8,0.9926666666666667,0.7311000000000001,0.8530544885316488,0.7101286053657532
2,sinewave,intrinsic_arc,8,0.9943333333333333,0.7375333333333335,0.8908736271914937,0.6168378591537476
3,sinewave,intrinsic_arc,8,0.9953333333333333,0.7198666666666667,0.8286463720250205,0.6478326916694641
4,sinewave,intrinsic_arc,8,0.993,0.7452333333333334,0.876949858438089,0.5846232175827026
0,sinewave,intrinsic_arc,32,0.9056666666666666,0.8193,0.8972227270724007,0.6952654719352722
1,sinewave,intrinsic_arc,32,0.9076666666666666,0.8032,0.8846021703445507,0.6246997117996216
2,sinewave,intrinsic_arc,32,0.9006666666666666,0.8209333333333334,0.9003402664367445,0.6632250547409058
3,sinewave,intrinsic_arc,32,0.9186666666666666,0.8167666666666668,0.8975322975239887,0.6963860392570496
4,sinewave,intrinsic_arc,32,0.9193333333333333,0.8131333333333334,0.898112161849155,0.6426111459732056
0,sinewave,observed_x,2,1.0,0.15563333333333335,0.6922831727282788,0.9999698996543884
1,sinewave,observed_x,2,1.0,0.16546666666666668,0.6985757632868814,0.999342679977417
2,sinewave,observed_x,2,0.999,0.1479,0.6799880126348627,0.9999377727508545
3,sinewave,observed_x,2,0.9996666666666667,0.15863333333333335,0.6805967498710582,0.9995505213737488
4,sinewave,observed_x,2,0.999,0.1534,0.6836147876715563,0.9994063973426819
0,sinewave,observed_x,8,0.9753333333333334,0.3288666666666667,0.6636753045073899,0.8357988595962524
1,sinewave,observed_x,8,0.9703333333333334,0.3116333333333334,0.6735453773440873,0.7028535604476929
2,sinewave,observed_x,8,0.9736666666666667,0.30843333333333334,0.6788417267292507,0.6926155686378479
3,sinewave,observed_x,8,0.974,0.3249333333333333,0.6991247298381222,0.8113316893577576
4,sinewave,observed_x,8,0.9773333333333334,0.3410666666666667,0.6997566765983567,0.7798731327056885
0,sinewave,observed_x,32,0.8363333333333334,0.5342,0.729570863948075,0.8838027119636536
1,sinewave,observed_x,32,0.8536666666666667,0.47059999999999996,0.6944097573282291,0.6983157992362976
2,sinewave,observed_x,32,0.8013333333333333,0.5271666666666667,0.7359393152896211,0.8837587237358093
3,sinewave,observed_x,32,0.829,0.5056333333333334,0.7357953081609254,0.8440899848937988
4,sinewave,observed_x,32,0.8306666666666667,0.5003333333333333,0.7280618722140519,0.8723694086074829
0,sinewave,observed_y,2,0.999,0.11459999999999998,0.697158045676806,0.9996025562286377
1,sinewave,observed_y,2,0.9996666666666667,0.12043333333333334,0.6775382704251958,0.9991812705993652
2,sinewave,observed_y,2,1.0,0.1055,0.6905135703488846,0.9999540448188782
3,sinewave,observed_y,2,0.9996666666666667,0.11440000000000002,0.6975448455183346,0.9999881386756897
4,sinewave,observed_y,2,0.9993333333333333,0.11460000000000001,0.6953893343537525,0.9984028339385986
0,sinewave,observed_y,8,0.9843333333333333,0.26676666666666665,0.6350841022009434,0.7988584637641907
1,sinewave,observed_y,8,0.9863333333333333,0.33216666666666667,0.696762579860984,0.8955161571502686
2,sinewave,observed_y,8,0.9783333333333334,0.24343333333333336,0.6357637000705897,0.6805386543273926
3,sinewave,observed_y,8,0.974,0.31526666666666664,0.6531189646151757,0.762268602848053
4,sinewave,observed_y,8,0.9683333333333334,0.2969333333333333,0.6145273958276283,0.6960467100143433
0,sinewave,observed_y,32,0.87,0.28569999999999995,0.46966820063636555,0.6008591055870056
1,sinewave,observed_y,32,0.8366666666666667,0.24283333333333335,0.6962348556367117,0.9270588755607605
2,sinewave,observed_y,32,0.8693333333333333,0.28703333333333336,0.6657448655070137,0.8129871487617493
3,sinewave,observed_y,32,0.8613333333333333,0.283,0.6008689974158322,0.635773777961731
4,sinewave,observed_y,32,0.8833333333333333,0.21953333333333333,0.3695573694079836,0.7909148335456848
