experiment,shape_family,hidden_dims,parameter_count,regime,scheme,n_classes,actual_classes,accuracy,knn_layer,knn_reference_layer,knn_k,knn_knn_preservation,dist_layer,dist_reference_layer,dist_distance_correlation,pca_layer,pca_n_features,pca_components_90,pca_components_95,pca_components_99,pca_first_pc_variance,pca_first_2pc_variance,pca_first_3pc_variance,arc_parameter_r2,name,world,allocation,template,target_params,relative_error,seed,epochs,n_samples,config_epochs,config_n_samples,config_noise_std,config_quick
spiral_arc_bins_32_uniform_params_750_seed_1,,"(12, 12, 12)",764,spiral,arc_bins,32,32,0.9783333333333334,logits,input,10,0.9479000000000001,logits,input,0.9001703057966701,logits,32,3,3,4,0.6003871560096741,0.8637062311172485,0.9525825381278992,0.9923685900583341,spiral_arc_bins_32_uniform_params_750_seed_1,spiral,uniform,"(1, 1, 1)",750,0.018666666666666668,1,100,3000,100,3000,0.02,False
spiral_arc_bins_32_back_loaded_params_750_seed_1,,"(4, 8, 16)",740,spiral,arc_bins,32,32,0.9726666666666667,logits,input,10,0.9351,logits,input,0.9189944690541596,logits,32,2,3,3,0.6056788563728333,0.9404482841491699,0.9925088286399841,0.9890185493500101,spiral_arc_bins_32_back_loaded_params_750_seed_1,spiral,back_loaded,"(1, 2, 4)",750,0.013333333333333334,1,100,3000,100,3000,0.02,False
spiral_arc_bins_32_uniform_params_750_seed_2,,"(12, 12, 12)",764,spiral,arc_bins,32,32,0.9756666666666667,logits,input,10,0.9599333333333334,logits,input,0.9274853547499458,logits,32,3,3,4,0.5837152004241943,0.8886799812316895,0.9748477935791016,0.9900531424828742,spiral_arc_bins_32_uniform_params_750_seed_2,spiral,uniform,"(1, 1, 1)",750,0.018666666666666668,2,100,3000,100,3000,0.02,False
spiral_arc_bins_32_back_loaded_params_750_seed_2,,"(4, 8, 16)",740,spiral,arc_bins,32,32,0.972,logits,input,10,0.9548000000000002,logits,input,0.8870559528128849,logits,32,2,2,3,0.5775861740112305,0.9827327728271484,0.9979318976402283,0.8084539245689104,spiral_arc_bins_32_back_loaded_params_750_seed_2,spiral,back_loaded,"(1, 2, 4)",750,0.013333333333333334,2,100,3000,100,3000,0.02,False
spiral_arc_bins_32_uniform_params_750_seed_3,,"(12, 12, 12)",764,spiral,arc_bins,32,32,0.9783333333333334,logits,input,10,0.9425333333333333,logits,input,0.8603433887296068,logits,32,3,3,3,0.6228964924812317,0.8616191148757935,0.990692675113678,0.9912062333090695,spiral_arc_bins_32_uniform_params_750_seed_3,spiral,uniform,"(1, 1, 1)",750,0.018666666666666668,3,100,3000,100,3000,0.02,False
spiral_arc_bins_32_back_loaded_params_750_seed_3,,"(4, 8, 16)",740,spiral,arc_bins,32,32,0.9743333333333334,logits,input,10,0.9471,logits,input,0.8832067082776721,logits,32,2,2,3,0.661986231803894,0.9864240884780884,0.9956791996955872,0.9488794742619572,spiral_arc_bins_32_back_loaded_params_750_seed_3,spiral,back_loaded,"(1, 2, 4)",750,0.013333333333333334,3,100,3000,100,3000,0.02,False
spiral_arc_bins_32_uniform_params_750_seed_4,,"(12, 12, 12)",764,spiral,arc_bins,32,32,0.9686666666666667,logits,input,10,0.9618666666666668,logits,input,0.928404380284255,logits,32,2,2,3,0.6413569450378418,0.9672811031341553,0.9954522252082825,0.9697223736646818,spiral_arc_bins_32_uniform_params_750_seed_4,spiral,uniform,"(1, 1, 1)",750,0.018666666666666668,4,100,3000,100,3000,0.02,False
spiral_arc_bins_32_back_loaded_params_750_seed_4,,"(4, 8, 16)",740,spiral,arc_bins,32,32,0.9613333333333334,logits,input,10,0.8887333333333334,logits,input,0.5834170919644741,logits,32,2,3,3,0.7738162279129028,0.9354422688484192,0.9903532862663269,0.8727595621287081,spiral_arc_bins_32_back_loaded_params_750_seed_4,spiral,back_loaded,"(1, 2, 4)",750,0.013333333333333334,4,100,3000,100,3000,0.02,False
spiral_arc_bins_32_uniform_params_750_seed_5,,"(12, 12, 12)",764,spiral,arc_bins,32,32,0.9796666666666667,logits,input,10,0.9510000000000002,logits,input,0.8868520092348711,logits,32,2,3,4,0.6718088388442993,0.9216671586036682,0.9834566712379456,0.9764999000376494,spiral_arc_bins_32_uniform_params_750_seed_5,spiral,uniform,"(1, 1, 1)",750,0.018666666666666668,5,100,3000,100,3000,0.02,False
spiral_arc_bins_32_back_loaded_params_750_seed_5,,"(4, 8, 16)",740,spiral,arc_bins,32,32,0.9633333333333334,logits,input,10,0.9342666666666667,logits,input,0.8810312779787587,logits,32,2,3,3,0.5403014421463013,0.9409493207931519,0.9969499707221985,0.8997860182368701,spiral_arc_bins_32_back_loaded_params_750_seed_5,spiral,back_loaded,"(1, 2, 4)",750,0.013333333333333334,5,100,3000,100,3000,0.02,False
