seed,previous_layer,layer,transition,accuracy,delta_euclidean_knn_loss,delta_geodesic_knn_loss,delta_distance_loss,delta_arc_r2_gain,delta_first_pc_gain,previous_euclidean_knn,current_euclidean_knn,previous_geodesic_knn,current_geodesic_knn,previous_distance_corr,current_distance_corr,previous_arc_r2,current_arc_r2,scheme_label
1,input,hidden_1,input -> hidden_1,0.908,0.0590666666666666,0.01200000000000001,0.011656073428509384,1.1528545609373886e-05,-0.05325871706008911,1.0,0.9409333333333334,0.49533333333333335,0.48333333333333334,0.9999999999999999,0.9883439265714905,0.9989333737356624,0.9989449022812718,intrinsic_arc
1,hidden_1,hidden_2,hidden_1 -> hidden_2,0.908,0.048966666666666714,0.010199999999999987,0.01025321302866855,-8.575526535159472e-05,-0.009295880794525146,0.9409333333333334,0.8919666666666667,0.48333333333333334,0.47313333333333335,0.9883439265714905,0.978090713542822,0.9989449022812718,0.9988591470159202,intrinsic_arc
1,hidden_2,hidden_3,hidden_2 -> hidden_3,0.908,0.05043333333333322,0.01323333333333343,0.04114292779087958,-0.0002304485968910308,0.024729788303375244,0.8919666666666667,0.8415333333333335,0.47313333333333335,0.4598999999999999,0.978090713542822,0.9369477857519424,0.9988591470159202,0.9986286984190291,intrinsic_arc
1,hidden_3,logits,hidden_3 -> logits,0.908,0.03823333333333345,0.012066666666666559,0.052591408843093435,-0.0004859648516520876,0.06753796339035034,0.8415333333333335,0.8033,0.4598999999999999,0.44783333333333336,0.9369477857519424,0.8843563769088489,0.9986286984190291,0.998142733567377,intrinsic_arc
2,input,hidden_1,input -> hidden_1,0.902,0.029099999999999904,-0.0005666666666666043,0.006410122340945734,-1.483508183341975e-05,-0.059444308280944824,1.0,0.9709000000000001,0.4968,0.4973666666666666,1.0,0.9935898776590543,0.9987367619702427,0.9987219268884093,intrinsic_arc
2,hidden_1,hidden_2,hidden_1 -> hidden_2,0.902,0.04823333333333324,0.014666666666666661,0.01044570408700951,-5.446617834459211e-05,0.02916187047958374,0.9709000000000001,0.9226666666666669,0.4973666666666666,0.48269999999999996,0.9935898776590543,0.9831441735720448,0.9987219268884093,0.9986674607100647,intrinsic_arc
2,hidden_2,hidden_3,hidden_2 -> hidden_3,0.902,0.053233333333333466,0.01426666666666665,0.02804444110806148,-0.00029997973153372826,0.017370283603668213,0.9226666666666669,0.8694333333333334,0.48269999999999996,0.4684333333333333,0.9831441735720448,0.9550997324639833,0.9986674607100647,0.998367480978531,intrinsic_arc
2,hidden_3,logits,hidden_3 -> logits,0.902,0.04836666666666678,0.014066666666666672,0.05503339827990372,-0.00016922561932897207,0.08541029691696167,0.8694333333333334,0.8210666666666666,0.4684333333333333,0.45436666666666664,0.9550997324639833,0.9000663341840796,0.998367480978531,0.998198255359202,intrinsic_arc
3,input,hidden_1,input -> hidden_1,0.9186666666666666,0.0419666666666666,-0.0006999999999999229,0.016144656889893638,1.748686534708277e-05,-0.08783268928527832,1.0,0.9580333333333334,0.4909666666666667,0.49166666666666664,1.0,0.9838553431101064,0.9988824500129572,0.9988999368783043,intrinsic_arc
3,hidden_1,hidden_2,hidden_1 -> hidden_2,0.9186666666666666,0.036666666666666625,0.016299999999999926,0.00585577589321129,-7.935684690418832e-05,0.021780788898468018,0.9580333333333334,0.9213666666666668,0.49166666666666664,0.4753666666666667,0.9838553431101064,0.9779995672168951,0.9988999368783043,0.9988205800314001,intrinsic_arc
3,hidden_2,hidden_3,hidden_2 -> hidden_3,0.9186666666666666,0.0551666666666667,0.014033333333333398,0.036739335394533,-0.0001850083461883978,0.059966087341308594,0.9213666666666668,0.8662000000000001,0.4753666666666667,0.4613333333333333,0.9779995672168951,0.9412602318223621,0.9988205800314001,0.9986355716852117,intrinsic_arc
3,hidden_3,logits,hidden_3 -> logits,0.9186666666666666,0.04970000000000008,0.015799999999999925,0.04380973211506245,-0.00011716570095066103,0.08712422847747803,0.8662000000000001,0.8165,0.4613333333333333,0.4455333333333334,0.9412602318223621,0.8974504997072996,0.9986355716852117,0.998518405984261,intrinsic_arc
4,input,hidden_1,input -> hidden_1,0.9193333333333333,0.03393333333333326,0.003666666666666596,0.007847526487420375,-4.491245424298462e-05,-0.10044199228286743,1.0,0.9660666666666667,0.5025666666666666,0.4989,1.0,0.9921524735125796,0.9988221684537607,0.9987772559995177,intrinsic_arc
4,hidden_1,hidden_2,hidden_1 -> hidden_2,0.9193333333333333,0.04699999999999993,0.012900000000000023,0.01615206864333818,-1.8365735554026763e-05,-0.002863943576812744,0.9660666666666667,0.9190666666666668,0.4989,0.486,0.9921524735125796,0.9760004048692414,0.9987772559995177,0.9987588902639637,intrinsic_arc
4,hidden_2,hidden_3,hidden_2 -> hidden_3,0.9193333333333333,0.057733333333333525,0.012966666666666682,0.03640748449537401,-0.00039973352501787573,0.060290515422821045,0.9190666666666668,0.8613333333333333,0.486,0.4730333333333333,0.9760004048692414,0.9395929203738674,0.9987588902639637,0.9983591567389458,intrinsic_arc
4,hidden_3,logits,hidden_3 -> logits,0.9193333333333333,0.047466666666666546,0.01576666666666665,0.04120035363258545,-0.0006257088125892762,0.08029752969741821,0.8613333333333333,0.8138666666666667,0.4730333333333333,0.45726666666666665,0.9395929203738674,0.898392566741282,0.9983591567389458,0.9977334479263565,intrinsic_arc
5,input,hidden_1,input -> hidden_1,0.9206666666666666,0.07993333333333341,0.013399999999999912,0.025457032598171225,3.892425727758386e-05,-0.047186970710754395,1.0,0.9200666666666666,0.4928666666666666,0.4794666666666667,1.0,0.9745429674018288,0.9988845609795299,0.9989234852368075,intrinsic_arc
5,hidden_1,hidden_2,hidden_1 -> hidden_2,0.9206666666666666,0.04716666666666647,0.01366666666666666,0.022703857192346577,-6.23768090390886e-05,8.83340835571289e-05,0.9200666666666666,0.8729000000000001,0.4794666666666667,0.46580000000000005,0.9745429674018288,0.9518391102094822,0.9989234852368075,0.9988611084277684,intrinsic_arc
5,hidden_2,hidden_3,hidden_2 -> hidden_3,0.9206666666666666,0.018366666666666642,0.005333333333333357,0.021099531453284026,-0.00010688722841567522,-0.04134988784790039,0.8729000000000001,0.8545333333333335,0.46580000000000005,0.4604666666666667,0.9518391102094822,0.9307395787561982,0.9988611084277684,0.9987542211993528,intrinsic_arc
5,hidden_3,logits,hidden_3 -> logits,0.9206666666666666,0.02103333333333346,0.00820000000000004,0.08038034003542693,-0.000366571666937876,0.038829684257507324,0.8545333333333335,0.8335,0.4604666666666667,0.45226666666666665,0.9307395787561982,0.8503592387207712,0.9987542211993528,0.9983876495324149,intrinsic_arc
6,input,hidden_1,input -> hidden_1,0.9163333333333333,0.04923333333333324,0.008000000000000063,0.010857965577952378,1.268490088601748e-05,-0.05218154191970825,1.0,0.9507666666666668,0.4981333333333334,0.4901333333333333,1.0,0.9891420344220476,0.9988391626704396,0.9988518475713256,intrinsic_arc
6,hidden_1,hidden_2,hidden_1 -> hidden_2,0.9163333333333333,0.04456666666666664,0.009766666666666646,0.002121473607305857,-1.0503784532156502e-05,0.020704269409179688,0.9507666666666668,0.9062000000000001,0.4901333333333333,0.48036666666666666,0.9891420344220476,0.9870205608147418,0.9988518475713256,0.9988413437867935,intrinsic_arc
6,hidden_2,hidden_3,hidden_2 -> hidden_3,0.9163333333333333,0.03393333333333337,0.008099999999999996,0.014437403379020775,-0.00040281155128796264,0.02948129177093506,0.9062000000000001,0.8722666666666667,0.48036666666666666,0.47226666666666667,0.9870205608147418,0.972583157435721,0.9988413437867935,0.9984385322355055,intrinsic_arc
6,hidden_3,logits,hidden_3 -> logits,0.9163333333333333,0.013066666666666671,0.003200000000000036,0.011128627896662135,-0.0001375963839190808,0.0649573802947998,0.8722666666666667,0.8592000000000001,0.47226666666666667,0.46906666666666663,0.972583157435721,0.9614545295390589,0.9984385322355055,0.9983009358515864,intrinsic_arc
7,input,hidden_1,input -> hidden_1,0.8983333333333333,0.04179999999999984,0.006333333333333302,0.009968161369327322,1.6335891732222052e-05,-0.05958646535873413,1.0,0.9582000000000002,0.4988,0.4924666666666667,1.0,0.9900318386306727,0.9987731837459732,0.9987895196377055,intrinsic_arc
7,hidden_1,hidden_2,hidden_1 -> hidden_2,0.8983333333333333,0.04373333333333351,0.014600000000000002,0.01811699502630948,-6.293175140148488e-05,-0.011332511901855469,0.9582000000000002,0.9144666666666666,0.4924666666666667,0.4778666666666667,0.9900318386306727,0.9719148436043632,0.9987895196377055,0.998726587886304,intrinsic_arc
