seed,previous_layer,layer,transition,accuracy,delta_euclidean_knn_loss,delta_geodesic_knn_loss,delta_distance_loss,delta_arc_r2_gain,delta_first_pc_gain,previous_euclidean_knn,current_euclidean_knn,previous_geodesic_knn,current_geodesic_knn,previous_distance_corr,current_distance_corr,previous_arc_r2,current_arc_r2
"(1,)",input,hidden_1,input -> hidden_1,0.9726666666666667,0.04239999999999999,0.013899999999999912,0.033890018181139014,0.621706850197037,0.05129742622375488,1.0,0.9576,0.8502666666666667,0.8363666666666668,1.0,0.966109981818861,0.15899493774600082,0.7807017879430378
"(1,)",hidden_1,hidden_2,hidden_1 -> hidden_2,0.9726666666666667,0.018066666666666564,0.0045000000000000595,0.017088087395496165,0.08645740300139293,-0.052289366722106934,0.9576,0.9395333333333334,0.8363666666666668,0.8318666666666668,0.966109981818861,0.9490218944233648,0.7807017879430378,0.8671591909444307
"(1,)",hidden_2,hidden_3,hidden_2 -> hidden_3,0.9726666666666667,0.0012999999999998568,-0.0001666666666666483,0.02037987219112858,0.12696740985605193,0.02856355905532837,0.9395333333333334,0.9382333333333336,0.8318666666666668,0.8320333333333334,0.9490218944233648,0.9286420222322362,0.8671591909444307,0.9941266008004827
"(1,)",hidden_3,logits,hidden_3 -> logits,0.9726666666666667,0.003066666666666884,0.00043333333333339663,0.00966821864911005,-0.005066075429581707,0.0224764347076416,0.9382333333333336,0.9351666666666667,0.8320333333333334,0.8316,0.9286420222322362,0.9189738035831262,0.9941266008004827,0.989060525370901
"(2,)",input,hidden_1,input -> hidden_1,0.972,0.026633333333333176,0.011033333333333228,0.08514444053751691,0.15973287409739367,0.012278378009796143,1.0,0.9733666666666668,0.8529,0.8418666666666668,1.0,0.9148555594624831,0.1297188834917693,0.289451757589163
"(2,)",hidden_1,hidden_2,hidden_1 -> hidden_2,0.972,0.012966666666666682,0.002866666666666795,0.019010595980113454,0.1551935413410448,0.07936471700668335,0.9733666666666668,0.9604000000000001,0.8418666666666668,0.839,0.9148555594624831,0.8958449634823696,0.289451757589163,0.44464529893020777
"(2,)",hidden_2,hidden_3,hidden_2 -> hidden_3,0.972,-0.0067666666666664765,-0.0018666666666667941,0.008217483685025173,0.43586952403349255,-0.0735977292060852,0.9604000000000001,0.9671666666666666,0.839,0.8408666666666668,0.8958449634823696,0.8876274797973445,0.44464529893020777,0.8805148229637003
"(2,)",hidden_3,logits,hidden_3 -> logits,0.972,0.012399999999999856,-0.0001666666666666483,0.0005989787089510923,-0.07123639435423001,-0.012825191020965576,0.9671666666666666,0.9547666666666668,0.8408666666666668,0.8410333333333334,0.8876274797973445,0.8870285010883934,0.8805148229637003,0.8092784286094703
"(3,)",input,hidden_1,input -> hidden_1,0.9743333333333334,0.020399999999999974,0.0037000000000000366,0.053267941230909055,0.5738178122617376,-0.025262773036956787,1.0,0.9796,0.8441333333333334,0.8404333333333334,1.0,0.946732058769091,0.14828572873094392,0.7221035409926815
"(3,)",hidden_1,hidden_2,hidden_1 -> hidden_2,0.9743333333333334,0.01966666666666661,0.0030999999999999917,0.05654223539614334,-0.10558158392294192,0.15638703107833862,0.9796,0.9599333333333334,0.8404333333333334,0.8373333333333334,0.946732058769091,0.8901898233729476,0.7221035409926815,0.6165219570697396
