layer,euclidean_knn,geodesic_knn_preservation,distance_correlation,first_pc_variance,first_2pc_variance,components_95,arc_r2,seed,accuracy,hidden_dims,parameter_count
input,1.0,0.8502666666666667,1.0,0.5555803179740906,1.0,2,0.15899493774600082,1,0.9726666666666667,"(4, 8, 16)",740
hidden_1,0.9576,0.8363666666666668,0.966109981818861,0.6068777441978455,0.9568919539451599,2,0.7807017879430378,1,0.9726666666666667,"(4, 8, 16)",740
hidden_2,0.9395333333333334,0.8318666666666668,0.9490218944233648,0.5545883774757385,0.9126389026641846,3,0.8671591909444307,1,0.9726666666666667,"(4, 8, 16)",740
hidden_3,0.9382333333333336,0.8320333333333334,0.9286420222322362,0.5831519365310669,0.920681357383728,3,0.9941266008004827,1,0.9726666666666667,"(4, 8, 16)",740
logits,0.9351666666666667,0.8316,0.9189738035831262,0.6056283712387085,0.940482497215271,3,0.989060525370901,1,0.9726666666666667,"(4, 8, 16)",740
input,1.0,0.8529,1.0,0.572632372379303,1.0,2,0.1297188834917693,2,0.972,"(4, 8, 16)",740
hidden_1,0.9733666666666668,0.8418666666666668,0.9148555594624831,0.5849107503890991,0.9773699641227722,2,0.289451757589163,2,0.972,"(4, 8, 16)",740
hidden_2,0.9604000000000001,0.839,0.8958449634823696,0.6642754673957825,0.993350625038147,2,0.44464529893020777,2,0.972,"(4, 8, 16)",740
hidden_3,0.9671666666666666,0.8408666666666668,0.8876274797973445,0.5906777381896973,0.9702835083007812,2,0.8805148229637003,2,0.972,"(4, 8, 16)",740
logits,0.9547666666666668,0.8410333333333334,0.8870285010883934,0.5778525471687317,0.9826673865318298,2,0.8092784286094703,2,0.972,"(4, 8, 16)",740
input,1.0,0.8441333333333334,1.0,0.5721324682235718,1.0000001192092896,2,0.14828572873094392,3,0.9743333333333334,"(4, 8, 16)",740
hidden_1,0.9796,0.8404333333333334,0.946732058769091,0.546869695186615,0.9662855863571167,2,0.7221035409926815,3,0.9743333333333334,"(4, 8, 16)",740
hidden_2,0.9599333333333334,0.8373333333333334,0.8901898233729476,0.7032567262649536,0.9601009488105774,2,0.6165219570697396,3,0.9743333333333334,"(4, 8, 16)",740
hidden_3,0.9461333333333334,0.8361000000000001,0.8833038053391975,0.6300196051597595,0.967668890953064,2,0.963914322201526,3,0.9743333333333334,"(4, 8, 16)",740
logits,0.9472000000000002,0.8357666666666668,0.8831831572618393,0.6620703935623169,0.986427903175354,2,0.9489232730966937,3,0.9743333333333334,"(4, 8, 16)",740
input,1.0,0.8542999999999998,1.0,0.5630416870117188,1.0,2,0.11964889240978771,4,0.961,"(4, 8, 16)",740
hidden_1,0.9355666666666668,0.8409333333333334,0.8810991474355595,0.6317045092582703,0.9067213535308838,3,0.4995847185510687,4,0.961,"(4, 8, 16)",740
hidden_2,0.9199333333333334,0.8338000000000002,0.8112227670830747,0.6456770896911621,0.8941004276275635,3,0.9002582324839726,4,0.961,"(4, 8, 16)",740
hidden_3,0.9134666666666669,0.8304333333333334,0.7208141914552362,0.6452058553695679,0.8808817863464355,3,0.9263086359684851,4,0.961,"(4, 8, 16)",740
logits,0.8888000000000001,0.8139000000000001,0.5832932025039851,0.7740459442138672,0.9355035424232483,3,0.8729866927434793,4,0.961,"(4, 8, 16)",740
input,1.0,0.8454333333333334,1.0,0.550186276435852,1.0,2,0.1412441808043946,5,0.9633333333333334,"(4, 8, 16)",740
hidden_1,0.9653333333333334,0.8396333333333333,0.9454304100024313,0.6089885234832764,0.9331105947494507,3,0.6900947515006917,5,0.9633333333333334,"(4, 8, 16)",740
hidden_2,0.9544000000000001,0.8380000000000002,0.9269888654720454,0.530992865562439,0.8647996783256531,3,0.9421243389823565,5,0.9633333333333334,"(4, 8, 16)",740
hidden_3,0.9425666666666668,0.8325666666666666,0.9032513370873143,0.46859586238861084,0.9032979607582092,3,0.9167984107143549,5,0.9633333333333334,"(4, 8, 16)",740
logits,0.9341666666666667,0.8305666666666668,0.8810439376178895,0.5403062701225281,0.9409672021865845,3,0.8998628313144438,5,0.9633333333333334,"(4, 8, 16)",740
input,1.0,0.8550666666666666,1.0,0.5465722680091858,1.0,2,0.1477789195969702,6,0.9576666666666667,"(4, 8, 16)",740
hidden_1,0.9655333333333334,0.8491666666666666,0.883940933898067,0.5382473468780518,0.8912246823310852,3,0.4726410554393602,6,0.9576666666666667,"(4, 8, 16)",740
hidden_2,0.9536333333333333,0.8465333333333335,0.8323541884148773,0.493513822555542,0.895671546459198,3,0.621351063374974,6,0.9576666666666667,"(4, 8, 16)",740
hidden_3,0.9476333333333333,0.8443000000000002,0.8111018640113702,0.48287928104400635,0.8815131187438965,3,0.730629678671668,6,0.9576666666666667,"(4, 8, 16)",740
logits,0.9457666666666668,0.8440666666666667,0.8024645023308109,0.521910548210144,0.9002106189727783,3,0.6652027070145644,6,0.9576666666666667,"(4, 8, 16)",740
input,1.0,0.8577666666666667,1.0,0.5660474300384521,0.9999998807907104,2,0.1363831327845858,7,0.96,"(4, 8, 16)",740
hidden_1,0.9768,0.8557666666666667,0.9595079097084285,0.5415037274360657,0.9321656227111816,3,0.8678577181963593,7,0.96,"(4, 8, 16)",740
hidden_2,0.9427333333333334,0.8458333333333333,0.8505745350077581,0.6360737085342407,0.9749568104743958,2,0.925667157214678,7,0.96,"(4, 8, 16)",740
hidden_3,0.9318333333333333,0.8415666666666666,0.8054220805770085,0.704708456993103,0.9694492816925049,2,0.96489886797557,7,0.96,"(4, 8, 16)",740
logits,0.9359666666666668,0.8443333333333334,0.8293225779176491,0.697749137878418,0.9822070598602295,2,0.9512327523546141,7,0.96,"(4, 8, 16)",740
input,1.0,0.8645333333333335,0.9999999999999999,0.5441460609436035,1.0,2,0.1272429798523812,8,0.963,"(4, 8, 16)",740
hidden_1,0.9623666666666666,0.8585333333333335,0.9304172194199061,0.6449212431907654,0.951053261756897,2,0.7461859604482313,8,0.963,"(4, 8, 16)",740
hidden_2,0.9565666666666666,0.8557333333333335,0.901382571242624,0.6667661666870117,0.9398444890975952,3,0.8231952481133858,8,0.963,"(4, 8, 16)",740
hidden_3,0.9490333333333335,0.8536666666666667,0.8667275048463106,0.7260288596153259,0.9442355632781982,3,0.9043082610166918,8,0.963,"(4, 8, 16)",740
logits,0.9415333333333334,0.8512666666666667,0.848573325480087,0.7744712829589844,0.9749839901924133,2,0.849477992140097,8,0.963,"(4, 8, 16)",740
input,1.0,0.8626,1.0,0.5582457184791565,1.0,2,0.11923761502945696,9,0.9653333333333334,"(4, 8, 16)",740
hidden_1,0.9762000000000001,0.8609666666666667,0.9261568277944952,0.5638686418533325,0.9486675262451172,3,0.6419357845901353,9,0.9653333333333334,"(4, 8, 16)",740
hidden_2,0.9573666666666668,0.8581000000000001,0.8563073935986002,0.5799043774604797,0.9807372689247131,2,0.8400910990908605,9,0.9653333333333334,"(4, 8, 16)",740
hidden_3,0.9563333333333334,0.8574666666666667,0.8415019963918609,0.5948922634124756,0.9723066091537476,2,0.8405791689866153,9,0.9653333333333334,"(4, 8, 16)",740
logits,0.9524000000000001,0.8565,0.8356121529257289,0.5861845016479492,0.987622857093811,2,0.7806195109036663,9,0.9653333333333334,"(4, 8, 16)",740
input,1.0,0.8502333333333333,1.0,0.5520609617233276,1.0,2,0.1578381180994659,10,0.953,"(4, 8, 16)",740
hidden_1,0.9691666666666666,0.8479333333333334,0.8995242564881131,0.5358465909957886,0.903721809387207,3,0.709489115712123,10,0.953,"(4, 8, 16)",740
hidden_2,0.9493999999999999,0.8406,0.8277985841488762,0.5878098011016846,0.9635875225067139,2,0.901916408142234,10,0.953,"(4, 8, 16)",740
hidden_3,0.9567333333333333,0.8424666666666668,0.829469483750364,0.525681734085083,0.9518734216690063,2,0.9378590571363012,10,0.953,"(4, 8, 16)",740
logits,0.9617666666666665,0.8431000000000001,0.8204122128383374,0.5475526452064514,0.9633082151412964,2,0.9181750688752178,10,0.953,"(4, 8, 16)",740
