seed,accuracy,euclidean_knn,geodesic_knn_preservation,distance_correlation,arc_r2,first_pc_variance,components_95,hidden_dims,parameter_count,distance_z,arc_r2_z
4,0.961,0.8888000000000001,0.8139000000000001,0.5832932025039851,0.8729866927434793,0.7740459442138672,3,"(4, 8, 16)",740,-2.6277246778825774,0.04656158448786019
6,0.9576666666666667,0.9457666666666668,0.8440666666666667,0.8024645023308109,0.6652027070145644,0.521910548210144,3,"(4, 8, 16)",740,-0.2836969545752127,-2.101133148272712
10,0.953,0.9617666666666665,0.8431000000000001,0.8204122128383374,0.9181750688752178,0.5475526452064514,2,"(4, 8, 16)",740,-0.09174695458535156,0.5136372210422367
7,0.96,0.9359666666666668,0.8443333333333334,0.8293225779176491,0.9512327523546141,0.697749137878418,2,"(4, 8, 16)",740,0.0035490206960795434,0.8553277148351166
9,0.9653333333333334,0.9524000000000001,0.8565,0.8356121529257289,0.7806195109036663,0.5861845016479492,2,"(4, 8, 16)",740,0.07081575771141445,-0.9081631466861578
8,0.963,0.9415333333333334,0.8512666666666667,0.848573325480087,0.849477992140097,0.7744712829589844,2,"(4, 8, 16)",740,0.20943494652852357,-0.19642880903457657
5,0.9633333333333334,0.9341666666666667,0.8305666666666668,0.8810439376178895,0.8998628313144438,0.5403062701225281,3,"(4, 8, 16)",740,0.5567067613323234,0.3243584562887038
3,0.9743333333333334,0.9472000000000002,0.8357666666666668,0.8831831572618393,0.9489232730966937,0.6620703935623169,2,"(4, 8, 16)",740,0.5795856243751766,0.8314564986763954
2,0.972,0.9547666666666668,0.8410333333333334,0.8870285010883934,0.8092784286094703,0.5778525471687317,2,"(4, 8, 16)",740,0.6207114129351458,-0.6119391312142638
1,0.9726666666666667,0.9351666666666667,0.8316,0.9189738035831262,0.989060525370901,0.6056283712387085,3,"(4, 8, 16)",740,0.9623650634644771,1.2463227598773974
